model,method,accuracy,precision,recall,f1_score,roc_auc,roc_path,confusion_matrix,confusion_matrix_path
cat_boost,ADASYN,0.8645,0.7151898734177216,0.5552825552825553,0.6251728907330567,0.8670072229394264,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\ADASYN\roc_cat_boost.png,"[[1503   90]
 [ 181  226]]",C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\ADASYN\confusion_matrix_cat_boost.png
xgboost,ADASYN,0.861,0.6869565217391305,0.5823095823095823,0.6303191489361702,0.8610336067963187,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\ADASYN\roc_xgboost.png,"[[1485  108]
 [ 170  237]]",C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\ADASYN\confusion_matrix_xgboost.png
light_gbm,ADASYN,0.8535,0.680379746835443,0.5282555282555282,0.5947441217150761,0.8532261074633956,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\ADASYN\roc_light_gbm.png,"[[1492  101]
 [ 192  215]]",C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\ADASYN\confusion_matrix_light_gbm.png
random_forest,ADASYN,0.8375,0.6004901960784313,0.601965601965602,0.6012269938650306,0.8430202159015717,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\ADASYN\roc_random_forest.png,"[[1430  163]
 [ 162  245]]",C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\ADASYN\confusion_matrix_random_forest.png
logistic_regression,ADASYN,0.696,0.37229987293519695,0.7199017199017199,0.490787269681742,0.7668454278623771,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\ADASYN\roc_logistic_regression.png,"[[1099  494]
 [ 114  293]]",C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\ADASYN\confusion_matrix_logistic_regression.png
cat_boost,SMOTE,0.864,0.7115987460815048,0.5577395577395577,0.6253443526170799,0.867534714992342,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\SMOTE\roc_cat_boost.png,"[[1501   92]
 [ 180  227]]",C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\SMOTE\confusion_matrix_cat_boost.png
xgboost,SMOTE,0.857,0.6753623188405797,0.5724815724815725,0.6196808510638298,0.8588866215984859,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\SMOTE\roc_xgboost.png,"[[1481  112]
 [ 174  233]]",C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\SMOTE\confusion_matrix_xgboost.png
light_gbm,SMOTE,0.856,0.6876971608832808,0.5356265356265356,0.6022099447513812,0.8550060075483804,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\SMOTE\roc_light_gbm.png,"[[1494   99]
 [ 189  218]]",C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\SMOTE\confusion_matrix_light_gbm.png
random_forest,SMOTE,0.843,0.624,0.5749385749385749,0.59846547314578,0.8486313740551029,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\SMOTE\roc_random_forest.png,"[[1452  141]
 [ 173  234]]",C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\SMOTE\confusion_matrix_random_forest.png
logistic_regression,SMOTE,0.7175,0.39088397790055246,0.6953316953316954,0.5004420866489832,0.7753639618046398,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\SMOTE\roc_logistic_regression.png,"[[1152  441]
 [ 124  283]]",C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\reports\evaluate\SMOTE\confusion_matrix_logistic_regression.png
