feature,importance
numeric_columns__CreditScore,0.08245990484421722
numeric_columns__Age,0.784799342960596
numeric_columns__Tenure,0.9440551792798673
numeric_columns__Balance,0.24123040847731203
numeric_columns__NumOfProducts,0.7710213027135042
numeric_columns__HasCrCard,0.0032836618117075616
numeric_columns__IsActiveMember,0.3195774184191578
numeric_columns__EstimatedSalary,0.06840386280119316
categorical_columns__Geography_France,0.052673911242572424
categorical_columns__Geography_Germany,0.14350427474257496
categorical_columns__Geography_Spain,0.04322418665263415
categorical_columns__Gender_Female,0.19768095005048986
categorical_columns__Gender_Male,0.000185224023860783
