feature,importance
numeric_columns__CreditScore,0.013101816441362053
numeric_columns__Age,0.11398346957178385
numeric_columns__Tenure,0.0010701884538673974
numeric_columns__Balance,0.022986776236110423
numeric_columns__NumOfProducts,0.04054165676395318
numeric_columns__HasCrCard,0.003062558183184713
numeric_columns__IsActiveMember,0.07486244558632854
numeric_columns__EstimatedSalary,0.006061969306399889
categorical_columns__Geography_France,0.028049121554890078
categorical_columns__Geography_Germany,0.03673487151949141
categorical_columns__Geography_Spain,0.01762071793694983
categorical_columns__Gender_Female,0.02067764915216309
categorical_columns__Gender_Male,0.027829874332462957
