feature,importance
numeric_columns__CreditScore,0.059749641392699816
numeric_columns__Age,0.7523116197080709
numeric_columns__Tenure,0.28978505779838387
numeric_columns__Balance,0.27208787482600116
numeric_columns__NumOfProducts,0.8618066631996364
numeric_columns__HasCrCard,0.025031785791669457
numeric_columns__IsActiveMember,0.4329093511577387
numeric_columns__EstimatedSalary,0.06733480027662583
categorical_columns__Geography_France,0.05650680154653247
categorical_columns__Geography_Germany,0.303132665903867
categorical_columns__Geography_Spain,0.07182629207998796
categorical_columns__Gender_Female,0.1697655028275518
categorical_columns__Gender_Male,0.1336055644210557
