feature,importance
numeric_columns__CreditScore,0.00931058146723702
numeric_columns__Age,0.12767334871529595
numeric_columns__Tenure,2.813905149395841e-05
numeric_columns__Balance,0.027306312012573403
numeric_columns__NumOfProducts,0.019063830978793113
numeric_columns__HasCrCard,0.0006371488059472158
numeric_columns__IsActiveMember,0.08569485350357502
numeric_columns__EstimatedSalary,0.007873010315375125
categorical_columns__Geography_France,0.02646893886054174
categorical_columns__Geography_Germany,0.04070160371088187
categorical_columns__Geography_Spain,0.018540938797176273
categorical_columns__Gender_Female,0.024317939960389813
categorical_columns__Gender_Male,0.02431767993367824
