feature,importance
numeric_columns__CreditScore,0.051700827
numeric_columns__Age,0.8030762
numeric_columns__Tenure,0.8222968
numeric_columns__Balance,0.16392137
numeric_columns__NumOfProducts,0.82434565
numeric_columns__HasCrCard,0.010936654
numeric_columns__IsActiveMember,0.37864253
numeric_columns__EstimatedSalary,0.06618346
categorical_columns__Geography_France,0.064855024
categorical_columns__Geography_Germany,0.27272883
categorical_columns__Geography_Spain,0.04177351
categorical_columns__Gender_Female,0.41293496
categorical_columns__Gender_Male,0.16405891
