method,model,best_value_composite,post_fit_composite,f1_macro,roc_auc,best_parameters_path,study_path,tuned_model_path
ADASYN,cat_boost,0.8260143439115546,0.8257166762523909,0.7773126987231109,0.8741206537816707,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\ADASYN\cat_boost_best_parameters.json,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\ADASYN\cat_boost_study.pkl,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuning_models\ADASYN\cat_boost_best.pkl
ADASYN,light_gbm,0.8209960230051716,0.8209960230051716,0.7725201087417959,0.8694719372685474,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\ADASYN\light_gbm_best_parameters.json,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\ADASYN\light_gbm_study.pkl,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuning_models\ADASYN\light_gbm_best.pkl
ADASYN,xgboost,0.82053545497911,0.8179591955771922,0.7717475947801982,0.8641707963741863,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\ADASYN\xgboost_best_parameters.json,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\ADASYN\xgboost_study.pkl,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuning_models\ADASYN\xgboost_best.pkl
ADASYN,random_forest,0.8040373866135591,0.8033662185006354,0.7553787720882836,0.851353664912987,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\ADASYN\random_forest_best_parameters.json,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\ADASYN\random_forest_study.pkl,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuning_models\ADASYN\random_forest_best.pkl
ADASYN,logistic_regression,0.7016432979449098,0.7016432979449098,0.6362823034617981,0.7670042924280214,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\ADASYN\logistic_regression_best_parameters.json,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\ADASYN\logistic_regression_study.pkl,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuning_models\ADASYN\logistic_regression_best.pkl
SMOTE,cat_boost,0.823740595576109,0.8244489986365187,0.7777078548964541,0.8711901423765831,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\SMOTE\cat_boost_best_parameters.json,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\SMOTE\cat_boost_study.pkl,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuning_models\SMOTE\cat_boost_best.pkl
SMOTE,light_gbm,0.8201717715822545,0.8206587527785463,0.7732892307491568,0.8680282748079358,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\SMOTE\light_gbm_best_parameters.json,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\SMOTE\light_gbm_study.pkl,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuning_models\SMOTE\light_gbm_best.pkl
SMOTE,xgboost,0.8232658664397474,0.8171602955543271,0.7683637251517882,0.8659568659568659,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\SMOTE\xgboost_best_parameters.json,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\SMOTE\xgboost_study.pkl,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuning_models\SMOTE\xgboost_best.pkl
SMOTE,random_forest,0.8097754004066363,0.808729304661502,0.7613806515501309,0.856077957772873,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\SMOTE\random_forest_best_parameters.json,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\SMOTE\random_forest_study.pkl,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuning_models\SMOTE\random_forest_best.pkl
SMOTE,logistic_regression,0.7151899796733352,0.7151899796733352,0.6542201323393857,0.7761598270072847,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\SMOTE\logistic_regression_best_parameters.json,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuned\SMOTE\logistic_regression_study.pkl,C:\MachineLearningCourse\AI_Upskilling\ai_upskilling\bank_churn_rate\models\tuning_models\SMOTE\logistic_regression_best.pkl
