iter	Passed	Remaining
0	10	4065
1	17	3525
2	25	3376
3	33	3284
4	40	3222
5	48	3177
6	56	3145
7	63	3133
8	71	3112
9	79	3094
10	87	3079
11	94	3065
12	102	3058
13	110	3044
14	117	3027
15	126	3029
16	134	3022
17	141	3008
18	149	3002
19	157	2991
20	165	2982
21	172	2970
22	180	2963
23	188	2954
24	196	2951
25	204	2944
26	212	2937
27	220	2929
28	228	2925
29	236	2919
30	244	2913
31	252	2907
32	260	2901
33	268	2894
34	276	2888
35	285	2883
36	293	2879
37	301	2874
38	311	2879
39	320	2881
40	328	2879
41	337	2878
42	346	2879
43	355	2879
44	364	2877
45	373	2875
46	382	2875
47	391	2874
48	401	2873
49	410	2873
50	419	2871
51	428	2868
52	437	2866
53	447	2865
54	457	2869
55	467	2869
56	476	2869
57	486	2868
58	495	2865
59	505	2862
60	514	2859
61	524	2857
62	533	2854
63	543	2851
64	552	2847
65	562	2844
66	571	2840
67	580	2836
68	590	2831
69	600	2829
70	609	2824
71	619	2820
72	628	2815
73	638	2810
74	647	2807
75	657	2802
76	667	2798
77	676	2792
78	685	2786
79	695	2780
80	705	2776
81	714	2771
82	724	2765
83	733	2759
84	743	2754
85	752	2749
86	762	2742
87	771	2735
88	781	2729
89	790	2723
90	800	2717
91	809	2711
92	819	2704
93	829	2698
94	838	2692
95	848	2686
96	857	2679
97	867	2673
98	877	2667
99	886	2660
100	896	2653
101	905	2646
102	915	2639
103	925	2632
104	934	2625
105	943	2617
106	953	2610
107	963	2604
108	972	2596
109	981	2588
110	991	2581
111	1001	2574
112	1010	2567
113	1020	2560
114	1030	2553
115	1039	2546
116	1049	2538
117	1058	2530
118	1068	2522
119	1077	2514
120	1087	2506
121	1096	2498
122	1106	2491
123	1115	2483
124	1125	2475
125	1134	2467
126	1144	2459
127	1153	2451
128	1163	2443
129	1172	2435
130	1182	2427
131	1191	2419
132	1200	2410
133	1210	2402
134	1220	2394
135	1229	2386
136	1239	2379
137	1249	2371
138	1258	2363
139	1267	2354
140	1277	2345
141	1286	2336
142	1295	2327
143	1304	2319
144	1313	2310
145	1323	2301
146	1332	2293
147	1341	2284
148	1351	2276
149	1360	2268
150	1370	2259
151	1379	2250
152	1388	2241
153	1397	2232
154	1406	2223
155	1416	2215
156	1425	2206
157	1434	2197
158	1443	2188
159	1452	2179
160	1462	2170
161	1471	2161
162	1480	2153
163	1490	2144
164	1499	2135
165	1508	2126
166	1517	2117
167	1527	2109
168	1536	2100
169	1545	2091
170	1554	2082
171	1564	2073
172	1573	2064
173	1582	2055
174	1591	2046
175	1601	2038
176	1611	2029
177	1620	2021
178	1629	2012
179	1639	2003
180	1648	1994
181	1657	1985
182	1667	1976
183	1676	1968
184	1686	1959
185	1696	1951
186	1706	1943
187	1715	1935
188	1725	1926
189	1735	1918
190	1745	1909
191	1755	1901
192	1764	1892
193	1774	1884
194	1784	1876
195	1794	1867
196	1804	1859
197	1813	1850
198	1823	1841
199	1833	1833
200	1842	1824
201	1852	1815
202	1861	1806
203	1871	1797
204	1880	1788
205	1890	1780
206	1899	1771
207	1909	1762
208	1919	1753
209	1928	1745
210	1939	1736
211	1948	1727
212	1958	1719
213	1968	1711
214	1978	1702
215	1988	1693
216	1998	1685
217	2007	1676
218	2017	1667
219	2027	1658
220	2036	1649
221	2046	1640
222	2055	1631
223	2065	1622
224	2074	1613
225	2084	1604
226	2093	1595
227	2102	1586
228	2112	1577
229	2122	1568
230	2131	1559
231	2140	1550
232	2150	1541
233	2159	1532
234	2169	1522
235	2178	1514
236	2188	1504
237	2197	1495
238	2206	1486
239	2216	1477
240	2225	1468
241	2235	1459
242	2244	1450
243	2254	1441
244	2263	1432
245	2273	1423
246	2283	1414
247	2292	1405
248	2302	1396
249	2311	1387
250	2321	1377
251	2330	1368
252	2340	1359
253	2350	1351
254	2360	1342
255	2370	1333
256	2379	1324
257	2389	1314
258	2399	1306
259	2408	1296
260	2418	1287
261	2428	1278
262	2438	1269
263	2447	1260
264	2457	1251
265	2467	1242
266	2476	1233
267	2486	1224
268	2496	1215
269	2505	1206
270	2515	1197
271	2524	1188
272	2534	1178
273	2543	1169
274	2553	1160
275	2562	1151
276	2572	1142
277	2582	1133
278	2591	1123
279	2600	1114
280	2610	1105
281	2619	1096
282	2629	1087
283	2638	1077
284	2648	1068
285	2657	1059
286	2667	1050
287	2676	1041
288	2686	1031
289	2696	1022
290	2705	1013
291	2715	1004
292	2725	995
293	2734	986
294	2744	976
295	2754	967
296	2763	958
297	2773	949
298	2783	940
299	2793	931
300	2803	922
301	2813	912
302	2823	903
303	2832	894
304	2842	885
305	2852	876
306	2862	867
307	2871	857
308	2881	848
309	2891	839
310	2900	830
311	2910	820
312	2919	811
313	2928	802
314	2938	792
315	2948	783
316	2957	774
317	2967	765
318	2976	755
319	2985	746
320	2995	737
321	3004	727
322	3014	718
323	3023	709
324	3033	699
325	3043	690
326	3052	681
327	3061	672
328	3071	662
329	3080	653
330	3090	644
331	3099	634
332	3109	625
333	3119	616
334	3128	607
335	3137	597
336	3147	588
337	3156	579
338	3166	569
339	3175	560
340	3184	551
341	3194	541
342	3203	532
343	3213	523
344	3222	513
345	3231	504
346	3241	495
347	3250	485
348	3259	476
349	3268	466
350	3277	457
351	3287	448
352	3296	438
353	3305	429
354	3314	420
355	3323	410
356	3332	401
357	3341	392
358	3351	382
359	3360	373
360	3369	364
361	3378	354
362	3387	345
363	3397	335
364	3406	326
365	3415	317
366	3424	307
367	3433	298
368	3443	289
369	3452	279
370	3461	270
371	3470	261
372	3479	251
373	3488	242
374	3497	233
375	3507	223
376	3516	214
377	3525	205
378	3534	195
379	3543	186
380	3553	177
381	3562	167
382	3571	158
383	3580	149
384	3589	139
385	3598	130
386	3607	121
387	3617	111
388	3626	102
389	3635	93
390	3644	83
391	3654	74
392	3663	65
393	3672	55
394	3681	46
395	3690	37
396	3700	27
397	3710	18
398	3719	9
399	3728	0
