feature,importance
numeric_columns__CreditScore,0.009322854698232522
numeric_columns__Age,0.127665589366275
numeric_columns__Tenure,2.718252665334257e-05
numeric_columns__Balance,0.027298176005535763
numeric_columns__NumOfProducts,0.019059215636275904
numeric_columns__HasCrCard,0.0006599871579737511
numeric_columns__IsActiveMember,0.08568957397163152
numeric_columns__EstimatedSalary,0.00785828138023088
categorical_columns__Geography_France,0.026431842881536303
categorical_columns__Geography_Germany,0.04073710842405077
categorical_columns__Geography_Spain,0.018490752987051804
categorical_columns__Gender_Female,0.024322068232128725
categorical_columns__Gender_Male,0.024272897176763578
