iter	Passed	Remaining
0	8	3382
1	17	3498
2	25	3398
3	33	3337
4	41	3297
5	49	3237
6	56	3190
7	64	3167
8	72	3140
9	79	3112
10	87	3078
11	94	3057
12	102	3045
13	109	3026
14	117	3006
15	124	2992
16	132	2988
17	140	2978
18	148	2969
19	155	2958
20	163	2952
21	171	2943
22	179	2936
23	186	2928
24	194	2921
25	202	2915
26	210	2908
27	218	2899
28	225	2890
29	234	2887
30	241	2879
31	249	2870
32	257	2863
33	265	2856
34	273	2850
35	281	2846
36	289	2839
37	297	2831
38	305	2828
39	314	2826
40	322	2822
41	330	2815
42	338	2811
43	346	2805
44	354	2800
45	362	2792
46	371	2788
47	379	2783
48	387	2778
49	396	2775
50	404	2770
51	413	2765
52	422	2763
53	430	2757
54	439	2754
55	448	2752
56	457	2751
57	466	2749
58	475	2747
59	483	2742
60	492	2738
61	501	2733
62	510	2729
63	519	2725
64	528	2721
65	537	2717
66	545	2712
67	554	2708
68	563	2702
69	572	2697
70	581	2692
71	589	2686
72	598	2680
73	607	2674
74	615	2669
75	624	2662
76	633	2656
77	641	2648
78	650	2641
79	658	2634
80	667	2628
81	675	2621
82	684	2614
83	692	2605
84	701	2598
85	709	2591
86	718	2584
87	727	2578
88	735	2571
89	744	2563
90	753	2557
91	761	2549
92	770	2541
93	778	2535
94	787	2528
95	795	2520
96	804	2512
97	812	2504
98	821	2497
99	829	2489
100	838	2482
101	847	2474
102	855	2467
103	864	2460
104	873	2453
105	881	2446
106	890	2438
107	898	2430
108	907	2422
109	915	2414
110	924	2406
111	932	2398
112	941	2390
113	950	2383
114	958	2375
115	967	2367
116	975	2360
117	984	2352
118	992	2344
119	1001	2336
120	1009	2327
121	1018	2320
122	1026	2312
123	1035	2304
124	1044	2297
125	1052	2289
126	1061	2281
127	1070	2273
128	1078	2265
129	1086	2257
130	1095	2250
131	1104	2241
132	1112	2233
133	1121	2225
134	1129	2217
135	1138	2210
136	1146	2201
137	1155	2193
138	1164	2185
139	1172	2177
140	1181	2169
141	1190	2162
142	1198	2154
143	1207	2146
144	1215	2138
145	1224	2130
146	1232	2121
