feature,importance
numeric_columns__CreditScore,0.06754989511870774
numeric_columns__Age,0.6309738863510045
numeric_columns__Tenure,0.7175833813781697
numeric_columns__Balance,0.27931479664385006
numeric_columns__NumOfProducts,0.7574304196241112
numeric_columns__HasCrCard,0.01353114531734349
numeric_columns__IsActiveMember,0.3577424236031846
numeric_columns__EstimatedSalary,0.06805112930809183
categorical_columns__Geography_France,0.06360541725363501
categorical_columns__Geography_Germany,0.24169335991132967
categorical_columns__Geography_Spain,0.09188389030516697
categorical_columns__Gender_Female,0.12393911888046534
categorical_columns__Gender_Male,0.141898504790903
