feature,importance
numeric_columns__CreditScore,0.009103727606753152
numeric_columns__Age,0.14449608148393359
numeric_columns__Tenure,0.010529109353289712
numeric_columns__Balance,0.03724152413774904
numeric_columns__NumOfProducts,0.11961270317148218
numeric_columns__HasCrCard,0.003900069212996777
numeric_columns__IsActiveMember,0.0579205201521975
numeric_columns__EstimatedSalary,0.010742152190692118
categorical_columns__Geography_France,0.024782244780698213
categorical_columns__Geography_Germany,0.043981047370140344
categorical_columns__Geography_Spain,0.015404932332457093
categorical_columns__Gender_Female,0.021594948084655972
categorical_columns__Gender_Male,0.0234289875202977
