feature,importance
numeric_columns__CreditScore,0.01181407470216154
numeric_columns__Age,0.12848077361436014
numeric_columns__Tenure,0.012531733473703186
numeric_columns__Balance,0.0423866597222339
numeric_columns__NumOfProducts,0.11455908894369705
numeric_columns__HasCrCard,0.0040652165010174055
numeric_columns__IsActiveMember,0.04801217249079818
numeric_columns__EstimatedSalary,0.01268752493005247
categorical_columns__Geography_France,0.023822330392476825
categorical_columns__Geography_Germany,0.03715279592337712
categorical_columns__Geography_Spain,0.013834689076078854
categorical_columns__Gender_Female,0.020659506801621923
categorical_columns__Gender_Male,0.024082637425458086
