iter	Logloss
0	0.6864208076
1	0.6805636147
2	0.6747947488
3	0.6692533094
4	0.6633239245
5	0.6581939244
6	0.6529072478
7	0.6480711162
8	0.6433010734
9	0.6387855526
10	0.63458274
11	0.6305778155
12	0.6262771234
13	0.6220923201
14	0.6184202397
15	0.6147356163
16	0.6113093928
17	0.6077340411
18	0.6044149811
19	0.6011079927
20	0.5982844139
21	0.5950573766
22	0.5925134847
23	0.5894817731
24	0.5868071213
25	0.5829953445
26	0.5800613745
27	0.577083239
28	0.5748598482
29	0.5725534948
30	0.569258571
31	0.5669838626
32	0.5644794762
33	0.561851133
34	0.559438634
35	0.5569232257
36	0.5550659923
37	0.5533145423
38	0.5515340605
39	0.5492353209
40	0.547612712
41	0.5451253924
42	0.5428339061
43	0.540780003
44	0.5386801046
45	0.5368268799
46	0.5354078408
47	0.5340241209
48	0.5328468895
49	0.5310852542
50	0.5296008968
51	0.5280585885
52	0.5266001251
53	0.5251065886
54	0.5228333501
55	0.5214005456
56	0.520212514
57	0.5184072803
58	0.5171424831
59	0.5154001435
60	0.5143354984
61	0.5128832077
62	0.5108151382
63	0.5096003085
64	0.5084758352
65	0.5072014663
66	0.5062818272
67	0.5053789345
68	0.5033594161
69	0.5019285314
70	0.5011688386
71	0.4992910185
72	0.4985110896
73	0.4972669355
74	0.4961029517
75	0.4947381692
76	0.4933024395
77	0.49214344
78	0.4906017672
79	0.4897353386
80	0.4886411961
81	0.4879354257
82	0.4865067291
83	0.4856349779
84	0.4845914797
85	0.4834648248
86	0.4826915055
87	0.4822049113
88	0.4809629321
89	0.4799961226
90	0.4783700222
91	0.4776058787
92	0.4767139006
93	0.4753699174
94	0.4749470761
95	0.4743868215
96	0.4730667924
97	0.4721997501
98	0.4716736596
99	0.4708050947
100	0.4700640113
101	0.4695405177
102	0.4688068147
103	0.4677747715
104	0.4666842081
105	0.4659556443
106	0.4649961332
107	0.4637735211
108	0.4624331684
109	0.4615116913
110	0.4607704447
111	0.4600484222
112	0.4588341081
113	0.4580998809
114	0.4570967117
115	0.4563920932
116	0.4556474165
117	0.454985463
118	0.4538814066
119	0.4532306696
120	0.4523285769
121	0.451468558
122	0.4504778751
123	0.4493939268
124	0.4485877205
125	0.4478160452
126	0.4471852118
127	0.446634821
128	0.4458154322
129	0.4451383256
130	0.4447571185
131	0.4441735653
132	0.4434156865
133	0.4430731128
134	0.4423610294
135	0.4418644681
136	0.4414928062
137	0.4410096081
138	0.4404148112
139	0.4397302029
140	0.4390933668
141	0.4386067986
142	0.4380905681
143	0.4375752185
144	0.4368548037
145	0.4361658512
146	0.4356712006
147	0.4352242757
148	0.4346741647
149	0.4343311764
150	0.4339629899
151	0.4331335348
152	0.4323844339
153	0.4321247289
154	0.4314212797
155	0.4302133085
156	0.4299059785
157	0.4296390978
158	0.429068793
159	0.4284437184
160	0.4278749852
161	0.4274467158
162	0.4270311829
163	0.4265288601
164	0.4262314006
165	0.4258046708
166	0.4251676843
167	0.4247891323
168	0.4242025036
169	0.4238669804
170	0.4234825813
171	0.4225502475
172	0.4221407541
173	0.421291427
174	0.4208011187
175	0.4205786039
176	0.4202242675
177	0.4198271423
178	0.4193044886
179	0.4189314838
180	0.4184152163
181	0.4173507444
182	0.4167792569
183	0.4157085494
184	0.4148714606
185	0.4138967973
186	0.4136014439
187	0.4132391249
188	0.4130007685
189	0.412647842
190	0.4121754453
191	0.411715237
192	0.4112900775
193	0.4108888739
194	0.4105112645
195	0.409755287
196	0.4094193816
197	0.4084123728
198	0.4082047288
199	0.4080103389
200	0.4073043418
201	0.40706216
202	0.4067766654
203	0.4064685765
204	0.4061477097
205	0.4046632687
206	0.4044470991
207	0.4025513716
208	0.4020991588
209	0.4016403243
210	0.4014780087
211	0.4011248144
212	0.4007067103
213	0.3994644288
214	0.3990306014
215	0.3983475802
216	0.3979638538
217	0.3976669261
218	0.3972720377
219	0.3969186
220	0.3962523007
221	0.3951961502
222	0.3949575662
223	0.3947018204
224	0.3945111455
225	0.3942996473
226	0.3936901403
227	0.3934492923
228	0.3926506175
229	0.3920216714
230	0.3915794479
231	0.3912057269
232	0.3901979048
233	0.3900593673
234	0.3896904035
235	0.3895348452
236	0.3893616096
237	0.3892183857
238	0.3890118906
239	0.3885861403
240	0.3883181539
241	0.3881725212
242	0.3878538045
243	0.3875072127
244	0.3872480446
245	0.3864081863
246	0.3855465746
247	0.3849687916
248	0.383972258
249	0.3838291386
250	0.3836303838
251	0.3829633256
252	0.3827705074
253	0.3824849683
254	0.3816679143
255	0.3808728064
256	0.3807148668
257	0.3800954509
258	0.3798090607
259	0.3794673077
260	0.3791390021
261	0.3789079822
262	0.3787146879
263	0.3785137813
264	0.3783720634
265	0.3772024629
266	0.376232383
267	0.3761093504
268	0.3759388412
269	0.3756562676
270	0.3754799704
271	0.375277493
272	0.3751271742
273	0.374555992
274	0.3742432522
275	0.3740563919
276	0.3734619758
277	0.3731881327
278	0.3729247462
279	0.3726749898
280	0.3723236611
281	0.3721434969
282	0.3718520174
283	0.3717074421
284	0.3706137038
285	0.3702926429
286	0.3701058554
287	0.3699484888
288	0.369806297
289	0.3692005134
290	0.3689614563
291	0.3674937843
292	0.3672101734
293	0.3670666796
294	0.3666709327
295	0.3664029247
296	0.3662111389
297	0.366025515
298	0.3654673793
299	0.365298138
300	0.3649894232
301	0.3640952506
302	0.3637751243
303	0.3636396803
304	0.36336891
305	0.3629743902
306	0.3628686649
307	0.3627584552
308	0.362622325
309	0.3622757314
310	0.3621143655
311	0.3617961798
312	0.3615785058
313	0.3614627432
314	0.3607693032
315	0.3602798336
316	0.3589560495
317	0.3587500196
318	0.3583780358
319	0.3578760462
320	0.3573389291
321	0.3570063142
322	0.3568160827
323	0.3566789462
324	0.356534005
325	0.356459493
326	0.355979249
327	0.3558575627
328	0.3556904011
329	0.3555604226
330	0.355271717
331	0.3550441015
332	0.3546289594
333	0.3543077303
334	0.3537248827
335	0.3525565206
336	0.3521799685
337	0.3518303158
338	0.3516128371
339	0.3515269322
340	0.3514139241
341	0.3503418241
342	0.3502282166
343	0.3497042272
344	0.3492266871
345	0.3489209884
346	0.3487064138
347	0.3486065258
348	0.3484985442
349	0.3483968705
350	0.3482126737
351	0.3477271828
352	0.3474462346
353	0.3473289843
354	0.3462500068
355	0.3454417217
356	0.3444126654
357	0.3441220115
358	0.3437820657
359	0.3431343623
360	0.3429600583
361	0.3428213122
362	0.342487562
363	0.3423578866
364	0.3419840563
365	0.3415227127
366	0.34106538
367	0.3409788019
368	0.3409020839
369	0.3406862111
370	0.3400091677
371	0.3394708285
372	0.3392385263
373	0.3386640121
374	0.3384869344
375	0.3383271845
376	0.3380982058
377	0.3373044465
378	0.337229595
379	0.3371437631
380	0.3364050201
381	0.3360384238
382	0.3358234522
