iter	Passed	Remaining
0	8	6761
1	16	6677
2	26	7000
3	35	7026
4	44	7032
5	53	7097
6	62	7061
7	71	7083
8	80	7065
9	89	7097
10	99	7142
11	110	7256
12	120	7319
13	131	7368
14	141	7407
15	151	7421
16	160	7405
17	170	7396
18	180	7432
19	190	7423
20	200	7431
21	210	7433
22	220	7452
23	230	7456
24	241	7483
25	251	7480
26	261	7479
27	270	7471
28	280	7467
29	290	7465
30	301	7476
31	311	7466
32	321	7475
33	332	7487
34	343	7506
35	352	7485
36	364	7508
37	374	7513
38	385	7519
39	395	7520
40	405	7503
41	414	7488
42	425	7482
43	435	7484
44	446	7485
45	456	7490
46	467	7489
47	479	7505
48	488	7491
49	499	7490
50	509	7489
51	520	7491
52	532	7499
53	541	7481
54	552	7480
55	562	7478
56	573	7469
57	583	7462
58	593	7455
59	606	7481
60	618	7497
61	629	7487
62	639	7480
63	649	7474
64	661	7475
65	672	7481
66	683	7475
67	693	7463
68	704	7468
69	715	7461
70	726	7463
71	738	7463
72	749	7460
73	760	7464
74	772	7466
75	782	7455
76	792	7442
77	802	7430
78	813	7424
79	824	7420
80	837	7432
81	848	7431
82	859	7420
83	869	7414
84	880	7402
85	890	7395
86	901	7386
87	912	7379
88	923	7375
89	934	7368
90	945	7368
91	956	7363
92	967	7354
93	979	7359
94	992	7368
95	1004	7367
96	1016	7364
97	1029	7372
98	1042	7379
99	1054	7380
100	1066	7378
101	1076	7369
102	1088	7367
103	1100	7363
104	1111	7358
105	1123	7353
106	1134	7350
107	1146	7346
108	1158	7342
109	1170	7339
110	1182	7339
111	1193	7332
112	1204	7321
113	1215	7316
114	1226	7307
115	1237	7298
116	1248	7290
117	1265	7313
118	1283	7344
119	1299	7361
120	1312	7363
121	1324	7358
122	1335	7350
123	1347	7343
124	1359	7343
125	1371	7338
126	1384	7339
127	1396	7333
128	1408	7324
129	1420	7319
130	1432	7315
131	1444	7310
132	1456	7305
133	1468	7299
134	1480	7292
135	1491	7283
136	1502	7272
137	1515	7268
138	1526	7261
139	1538	7253
140	1550	7245
141	1563	7242
142	1576	7242
143	1590	7243
144	1602	7237
145	1613	7227
146	1625	7219
147	1637	7214
148	1648	7204
149	1659	7191
150	1670	7178
151	1680	7165
152	1691	7152
153	1702	7140
154	1712	7127
155	1723	7115
156	1733	7101
157	1744	7088
158	1754	7074
159	1765	7060
160	1775	7047
161	1786	7034
162	1796	7019
163	1807	7007
164	1817	6996
165	1828	6981
166	1838	6968
167	1848	6955
168	1860	6945
169	1870	6933
170	1881	6921
171	1892	6910
172	1903	6897
173	1913	6885
174	1924	6873
175	1935	6863
176	1947	6854
177	1958	6843
178	1969	6834
179	1981	6824
180	1991	6811
181	2002	6799
182	2013	6788
183	2024	6777
184	2035	6767
185	2046	6755
186	2057	6745
187	2068	6733
188	2079	6721
189	2090	6712
190	2102	6702
191	2113	6693
192	2125	6683
193	2136	6674
194	2147	6662
195	2158	6650
196	2168	6638
197	2179	6627
198	2190	6616
199	2200	6602
200	2212	6592
201	2223	6582
202	2234	6570
203	2245	6561
204	2256	6548
205	2267	6538
206	2278	6526
207	2289	6515
208	2300	6504
209	2310	6491
210	2321	6480
211	2332	6468
212	2343	6459
213	2354	6447
214	2365	6436
215	2375	6422
216	2386	6412
217	2397	6400
218	2408	6388
219	2418	6377
220	2429	6364
221	2440	6353
222	2451	6342
